"","staid","flow","dates","qualcode","date","flowCatNum"
"1","01169900",13.8,2016-12-18,"A","2016-12-18",1
"2","01169900",16.9,2016-12-19,"A","2016-12-19",1
"3","01169900",17.9,2016-12-20,"A","2016-12-20",1
"4","01169900",17.9,2016-12-21,"A","2016-12-21",1
"5","01169900",17.9,2016-12-22,"A","2016-12-22",1
"6","01169900",18.1,2016-12-23,"A","2016-12-23",1
"7","01169900",19.7,2016-12-24,"A","2016-12-24",1
"8","01169900",21.5,2016-12-25,"A","2016-12-25",1
"9","01169900",21.3,2016-12-26,"A","2016-12-26",1
"10","01169900",24,2016-12-27,"A","2016-12-27",1
"11","01169900",25.2,2016-12-28,"A","2016-12-28",1
"12","01169900",24.1,2016-12-29,"A","2016-12-29",1
"13","01169900",22.4,2016-12-30,"A","2016-12-30",1
"14","01169900",21.3,2016-12-31,"A","2016-12-31",1
"15","01169900",20.9,2017-01-01,"A","2017-01-01",1
"16","01169900",20.7,2017-01-02,"A","2017-01-02",1
"17","01169900",23.1,2017-01-03,"A","2017-01-03",1
"18","01169900",35.2,2017-01-04,"A","2017-01-04",1
"19","01169900",40.6,2017-01-05,"A","2017-01-05",1
"20","01169900",37.1,2017-01-06,"A","2017-01-06",1
"21","01169900",34.2,2017-01-07,"A","2017-01-07",1
"22","01169900",40.3,2017-01-08,"A","2017-01-08",1
"23","01169900",39.5,2017-01-09,"A","2017-01-09",1
"24","01169900",38.2,2017-01-10,"A","2017-01-10",1
"25","01169900",47,2017-01-11,"A","2017-01-11",2
"26","01169900",54.8,2017-01-12,"A","2017-01-12",2
"27","01169900",56.6,2017-01-13,"A","2017-01-13",2
"28","01169900",56,2017-01-14,"A","2017-01-14",2
"29","01169900",51.3,2017-01-15,"A","2017-01-15",2
"30","01169900",43.1,2017-01-16,"A","2017-01-16",1
"31","01169900",37.8,2017-01-17,"A","2017-01-17",1
"32","01169900",34.7,2017-01-18,"A","2017-01-18",1
"33","01169900",33,2017-01-19,"A","2017-01-19",1
"34","01169900",32.2,2017-01-20,"A","2017-01-20",1
"35","01169900",32.1,2017-01-21,"A","2017-01-21",1
"36","01169900",35.8,2017-01-22,"A","2017-01-22",1
"37","01169900",37.6,2017-01-23,"A","2017-01-23",1
"38","01169900",36.1,2017-01-24,"A","2017-01-24",1
"39","01169900",36.5,2017-01-25,"A","2017-01-25",1
"40","01169900",34.3,2017-01-26,"A","2017-01-26",1
"41","01169900",33.3,2017-01-27,"A","2017-01-27",1
"42","01169900",29.7,2017-01-28,"A","2017-01-28",1
"43","01169900",25.7,2017-01-29,"A","2017-01-29",1
"44","01169900",19.9,2017-01-30,"A","2017-01-30",1
"45","01169900",21.6,2017-01-31,"A","2017-01-31",1
"46","01169900",27.5,2017-02-01,"A","2017-02-01",1
