"","x"
"1",0.129575895767648
"2",-0.208546359155702
"3",-0.266138611367921
"4",-0.297721459355267
"5",-0.314441790642685
"6",-0.212261988330684
"7",-0.273569869717885
"8",-0.40361689084225
"9",-0.466782586816942
"10",-0.349740267805013
"11",0.965592460138568
"12",1.24426464826221
"13",1.15137391888766
"14",1.03990504363821
"15",1.80160902450949
"16",-0.0747837088563547
"17",-0.0989352984937368
"18",-0.251276094667993
"19",-0.333019936517594
"20",-0.381323115792359
"21",-0.158385365293447
"22",-0.147238477768501
"23",-0.271712055130394
"24",-0.279143313480357
"25",0.018107020518192
"26",1.78303087863458
"27",0.911715837101331
"28",0.759375040927074
"29",0.597745171815363
"30",0.844834511951657
"31",1.33715537763675
"32",4.77411236449498
"33",3.58511102850078
"34",3.95667394599897
"35",2.34037525488186
"36",1.65298385751021
"37",1.39288981526148
"38",0.203888479267285
"39",0.668342126140018
"40",0.430541858941179
"41",0.354371460854051
"42",0.116571193655211
"43",0.042258610155574
"44",0.0682680143804472
"45",0.203888479267285
"46",0.802104776439366
"47",0.29306357946685
"48",4.47686203049643
"49",2.13601565025786
"50",0.203888479267285
"51",0.740796895052165
"52",0.536437290428162
"53",0.376665235903942
"54",0.501138813265835
"55",4.47686203049643
"56",1.57867127401058
"57",0.965592460138568
"58",0.607034244752818
"59",0.389669938016379
"60",0.328362056629178
"61",0.0645523852054653
"62",-0.039485231694027
"63",0.016249205930701
"64",0.0013866892307736
"65",-0.121229073543628
"66",0.263338546066995
"67",3.30643884037714
"68",1.11421762713784
"69",0.599602986402854
"70",0.694351530364892
"71",0.202030664679794
"72",1.2256865023873
"73",0.376665235903942
"74",0.196457220917322
"75",0.0125335767557192
"76",-0.119371258956137
"77",-0.227124505030611
"78",-0.266138611367921
"79",-0.14538066318101
"80",-0.251276094667993
"81",0.49184974032838
"82",-0.199257286218247
"83",-0.539237355729088
"84",-0.411048149192214
"85",-0.321873048992649
"86",-0.490934176454324
"87",-0.492791991041815
"88",-0.487218547279342
"89",-0.552242057841524
"90",-0.437057553417087
"91",-0.572678018303925
"92",-0.619123382991198
"93",-0.650706230978544
"94",-0.667426562265962
"95",-0.658137489328508
"96",-0.593113978766325
"97",-0.576393647478907
"98",-0.667426562265962
"99",-0.652564045566035
"100",-0.654421860153526
"101",-0.656279674741017
"102",-0.66371093309098
"103",-0.658137489328508
"104",-0.687862522728363
"105",-0.695293781078326
"106",-0.72316099989069
"107",-0.737094609296872
"108",-0.750285092868058
"109",-0.60240305170378
"110",-0.606118680878762
"111",-0.691578151903344
"112",-0.708298483190763
"113",-0.693435966490835
"114",-0.735794139085629
"115",-0.755301192254283
"116",-0.772764649376698
"117",-0.779267000432916
"118",-0.782053722314153
"119",-0.773321993752945
"120",-0.777037622927927
"121",-0.747498370986821
"122",-0.750099311409309
"123",-0.780939033561658
"124",-0.754372284960538
"125",-0.768491675825469
"126",-0.699009410253308
"127",-0.765147609567985
"128",-0.73950976826061
"129",-0.7519571259968
"130",-0.775365589799185
"131",-0.725018814478181
"132",-0.713871926953236
"133",-0.767934331449222
"134",-0.790228106499113
"135",-0.453777884704505
"136",-0.808063126539026
"137",-0.810292504044015
"138",-0.816794855100233
"139",-0.819395795522721
"140",-0.604260866291271
"141",-0.747126808069323
"142",-0.528090468204142
"143",-0.645132787216071
"144",-0.72316099989069
"145",-0.755301192254283
"146",-0.772021523541702
"147",-0.780753252102909
"148",-0.787812947535375
"149",-0.797102020472829
"150",-0.79895983506032
"151",-0.802118119859055
"152",-0.803604371529048
"153",-0.804161715905295
"154",-0.806205311951535
"155",-0.806205311951535
"156",-0.812521881549004
"157",-0.819024232605222
"158",-0.819953139898968
"159",-0.825526583661441
"160",-0.830542683047666
"161",-0.77852387459792
"162",-0.763847139356742
"163",-0.808806252374022
"164",-0.811778755714008
"165",-0.813822351760248
"166",-0.815865947806488
"167",-0.811964537172757
"168",-0.773507775211695
"169",-0.715729741540727
"170",-0.736537264920625
"171",-0.790413887957862
"172",-0.790971232334109
"173",-0.802489682776553
"174",-0.809735159667768
"175",-0.813079225925251
"176",-0.815122821971491
"177",-0.353455896979995
"178",-0.353455896979995
"179",0.389669938016379
"180",4.66264348924552
"181",1.03990504363821
"182",0.176021260454921
"183",-0.0190492712316267
"184",0.761232855514565
"185",-0.251276094667993
"186",-0.301437088530249
"187",-0.228982319618102
"188",-0.346024638630031
"189",-0.38318093037985
"190",-0.401759076254759
"191",-0.457493513879487
"192",-0.461209143054469
"193",-0.453777884704505
"194",-0.457493513879487
"195",-0.102650927668719
"196",-0.0599211921564273
"197",-0.189968213280793
"198",-0.0209070858191177
"199",-0.267996425955412
"200",-0.409190334604723
"201",-0.433341924242105
"202",-0.464924772229451
"203",-0.472356030579414
"204",-0.481645103516869
"205",-0.505796693154251
"206",-0.528090468204142
"207",-0.531806097379124
"208",-0.479787288929378
"209",-0.529948282791633
"210",-0.541095170316579
"211",-0.518801395266688
"212",0.0199648351056829
"213",-0.338593380280067
"214",-0.420337222129668
"215",-0.437057553417087
"216",-0.433341924242105
"217",-0.459351328466978
"218",-0.464924772229451
"219",-0.464924772229451
"220",-0.461209143054469
"221",-0.154669736118465
"222",0.278201062766923
"223",0.575451396765472
"224",0.699924974127364
"225",0.365518348378996
"226",0.285632321116886
"227",-0.0840727817938093
"228",0.0404007955680832
"229",1.95023419150876
"230",2.6190474430055
"231",0.443546561053616
"232",1.09563948126293
"233",0.608892059340309
"234",0.291205764879359
"235",1.80160902450949
"236",1.13279577301275
"237",1.91307789975894
"238",1.93165604563385
"239",1.26284279413712
"240",0.861554843239076
"241",0.406390269303797
"242",0.263338546066995
"243",0.304210466991796
"244",0.0887039748428474
"245",0.0218226496931739
"246",-0.0747837088563547
"247",-0.095219669318755
"248",-0.0320539733440633
"249",-0.0506321192189726
"250",-0.0654946359189
"251",-0.106366556843701
"252",0.0236804642806647
"253",0.237329141842122
"254",0.839261068189184
"255",0.159300929167503
"256",0.307926096166777
"257",0.488134111153398
"258",0.172305631279939
"259",0.320930798279214
"260",0.127718081180157
"261",0.0515476830930287
"262",0.01439139134321
"263",-0.00232893994420832
"264",0.118429008242702
"265",2.6190474430055
"266",2.76767261000477
"267",1.69014014926003
"268",1.39288981526148
"269",0.965592460138568
"270",0.683204642839946
"271",0.467698150690998
"272",0.33207768580416
"273",0.902426764163876
"274",0.376665235903942
"275",0.237329141842122
"276",0.105424306130266
"277",0.0942774186053202
"278",0.101708676955284
"279",-0.037627417106536
"280",-0.102650927668719
"281",-0.150954106943483
"282",-0.173247881993374
"283",-0.173247881993374
"284",-0.254991723842975
"285",-0.149096292355992
"286",-0.0822149672063184
"287",-0.336735565692576
"288",-0.30515271770523
"289",-0.386896559554831
"290",-0.398043447079777
"291",-0.466782586816942
"292",-0.539237355729088
"293",-0.522517024441669
"294",-0.490934176454324
"295",-0.546668614079052
"296",-0.589398349591343
"297",-0.591256164178834
"298",-0.593113978766325
"299",-0.199257286218247
"300",-0.372034042854904
"301",-0.568962389128943
"302",-0.650706230978544
"303",-0.665568747678471
"304",-0.680431264378399
"305",-0.686004708140872
"306",-0.686004708140872
"307",-0.697151595665817
"308",-0.70272503942829
"309",-0.719445370715708
"310",-0.669284376853453
"311",-0.418479407542177
"312",-0.691578151903344
"313",-0.715729741540727
"314",-0.715729741540727
"315",-0.691578151903344
"316",-0.581967091241379
"317",-0.686004708140872
"318",-0.708298483190763
"319",0.85040795571413
"320",0.85040795571413
"321",-0.620981197578689
"322",-0.693435966490835
"323",-0.715729741540727
"324",-0.727433973441919
"325",-0.72316099989069
"326",-0.733007417204392
"327",-0.76013151018176
"328",-0.767005424155476
"329",-0.77443668250544
"330",-0.783168411066647
"331",-0.772207305000451
"332",-0.781682159396655
"333",-0.511370136916724
"334",-0.568962389128943
"335",-0.72724819198317
"336",-0.753071814749294
"337",-0.753071814749294
"338",-0.763289794980494
"339",4.55117461399607
"340",0.867128287001548
"341",1.07706133538802
"342",3.6222673202506
"343",0.883848618288967
"344",-0.254991723842975
"345",-0.00418675453169928
"346",0.0887039748428474
"347",0.467698150690998
"348",0.280058877354413
"349",-0.24384483631803
"350",-0.128660331893592
"351",1.39288981526148
"352",-0.00790238370668107
"353",1.78303087863458
"354",4.4211275928717
"355",0.774237557627002
"356",0.0088179475807373
"357",-0.0859305963813003
"358",-0.169532252818392
"359",-0.251276094667993
"360",-0.303294903117739
"361",-0.390612188729813
"362",-0.429626295067123
